"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp0.00 / 0.00%"
"Total P/L","Rp13,066,218,001,659,260.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,449,059","04/16/2021","918,580,769","1.67%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,449,180","04/16/2021","917,823,319","1.59%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,449,250","04/16/2021","917,823,319","1.59%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,652,583","04/16/2021","917,823,319","1.57%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,652,591","04/16/2021","917,823,319","1.57%","Rp100,000,000,000,000.00"
"","Bitcoin","BTC/USD","Investing.com","04/16/2021","BUY","1000000000.00000000","61,135.1","04/16/2021","61,607.9","0.77%","Rp6,886,331,999,998,544.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","10000000000.00000000","903,652,584","04/16/2021","903,652,584","0.00%","Rp0.00"
"","Ethereum","ETH/USD","Investing.com","04/15/2021","SELL","1000000000.00000000","2,452.83","04/16/2021","2,424.26","1.16%","Rp416,122,050,000,000.00"
"","BTC/USD","BTC/USD","Binance","04/15/2021","SELL","1000000000.00000000","63,242.8","04/15/2021","63,220.0","3.61%","Rp332,081,999,990,081.25"
"","Ethereum","ETH/USD","Investing.com","04/15/2021","SELL","1000000000.00000000","2,466.50","04/15/2021","2,531.04","-2.62%","-Rp940,025,100,000,000.00"

"Closed P/L","Rp13,066,218,001,659,260.00"


